image_id,label,super_class_id,path,split,is_query,is_gallery,category
1,1,1,bicycle_final/111085122871_0.JPG,train,,,bicycle_final
2,1,1,bicycle_final/111085122871_1.JPG,train,,,bicycle_final
3,1,1,bicycle_final/111085122871_2.JPG,train,,,bicycle_final
4,1,1,bicycle_final/111085122871_3.JPG,train,,,bicycle_final
5,1,1,bicycle_final/111085122871_4.JPG,train,,,bicycle_final
6,1,1,bicycle_final/111085122871_5.JPG,train,,,bicycle_final
7,1,1,bicycle_final/111085122871_6.JPG,train,,,bicycle_final
8,1,1,bicycle_final/111085122871_7.JPG,train,,,bicycle_final
9,2,1,bicycle_final/111265328556_0.JPG,train,,,bicycle_final
10,2,1,bicycle_final/111265328556_1.JPG,train,,,bicycle_final
11,2,1,bicycle_final/111265328556_2.JPG,train,,,bicycle_final
12,2,1,bicycle_final/111265328556_3.JPG,train,,,bicycle_final
13,2,1,bicycle_final/111265328556_4.JPG,train,,,bicycle_final
14,2,1,bicycle_final/111265328556_5.JPG,train,,,bicycle_final
15,2,1,bicycle_final/111265328556_6.JPG,train,,,bicycle_final
16,3,1,bicycle_final/111265348817_0.JPG,train,,,bicycle_final
17,3,1,bicycle_final/111265348817_1.JPG,train,,,bicycle_final
18,3,1,bicycle_final/111265348817_2.JPG,train,,,bicycle_final
19,3,1,bicycle_final/111265348817_3.JPG,train,,,bicycle_final
20,3,1,bicycle_final/111265348817_4.JPG,train,,,bicycle_final
21,4,1,bicycle_final/111375616144_0.JPG,train,,,bicycle_final
22,4,1,bicycle_final/111375616144_1.JPG,train,,,bicycle_final
23,4,1,bicycle_final/111375616144_2.JPG,train,,,bicycle_final
24,4,1,bicycle_final/111375616144_3.JPG,train,,,bicycle_final
25,4,1,bicycle_final/111375616144_4.JPG,train,,,bicycle_final
26,4,1,bicycle_final/111375616144_5.JPG,train,,,bicycle_final
27,4,1,bicycle_final/111375616144_6.JPG,train,,,bicycle_final
28,4,1,bicycle_final/111375616144_7.JPG,train,,,bicycle_final
29,4,1,bicycle_final/111375616144_8.JPG,train,,,bicycle_final
30,5,1,bicycle_final/111469262153_0.JPG,train,,,bicycle_final
31,5,1,bicycle_final/111469262153_1.JPG,train,,,bicycle_final
32,6,1,bicycle_final/111476691561_0.JPG,train,,,bicycle_final
33,6,1,bicycle_final/111476691561_1.JPG,train,,,bicycle_final
34,6,1,bicycle_final/111476691561_2.JPG,train,,,bicycle_final
35,6,1,bicycle_final/111476691561_3.JPG,train,,,bicycle_final
36,6,1,bicycle_final/111476691561_4.JPG,train,,,bicycle_final
37,6,1,bicycle_final/111476691561_5.JPG,train,,,bicycle_final
38,6,1,bicycle_final/111476691561_6.JPG,train,,,bicycle_final
39,6,1,bicycle_final/111476691561_7.JPG,train,,,bicycle_final
40,6,1,bicycle_final/111476691561_8.JPG,train,,,bicycle_final
41,6,1,bicycle_final/111476691561_9.JPG,train,,,bicycle_final
42,7,1,bicycle_final/111502876121_0.JPG,train,,,bicycle_final
43,7,1,bicycle_final/111502876121_1.JPG,train,,,bicycle_final
44,7,1,bicycle_final/111502876121_10.JPG,train,,,bicycle_final
45,7,1,bicycle_final/111502876121_11.JPG,train,,,bicycle_final
46,7,1,bicycle_final/111502876121_2.JPG,train,,,bicycle_final
47,7,1,bicycle_final/111502876121_3.JPG,train,,,bicycle_final
48,7,1,bicycle_final/111502876121_4.JPG,train,,,bicycle_final
49,7,1,bicycle_final/111502876121_5.JPG,train,,,bicycle_final
50,7,1,bicycle_final/111502876121_6.JPG,train,,,bicycle_final
51,7,1,bicycle_final/111502876121_7.JPG,train,,,bicycle_final
